s1,s2,s3,s4,s5,Total
88,94,84,95,94,500
83,98,94,87,91,500
96,98,84,98,91,500
86,96,81,88,87,500
85,90,85,86,83,500
81,88,86,83,92,500
96,82,86,80,85,500
83,80,81,86,98,500
86,86,87,83,93,500
95,91,85,84,84,500
94,97,84,91,86,500
83,83,86,82,84,500
82,87,98,99,96,500
88,89,89,96,98,500
97,91,83,90,99,500
85,99,91,97,82,500
84,86,89,81,99,500
94,98,94,94,86,500
88,97,91,87,91,500
80,99,86,92,94,500
80,87,95,98,83,500
81,90,81,82,82,500
81,84,92,95,84,500
90,85,94,94,80,500
90,98,88,89,93,500
80,97,88,83,90,500
98,88,84,99,96,500
83,86,97,97,81,500
98,83,85,95,82,500
98,90,84,94,83,500
89,83,85,98,80,500
84,91,97,96,87,500
85,94,90,93,85,500
94,86,89,86,84,500
94,89,88,82,93,500
81,86,86,90,83,500
95,94,95,91,92,500
86,80,98,93,96,500
92,90,90,83,80,500
93,90,85,81,80,500
87,88,91,83,84,500
97,94,80,92,88,500
90,93,90,86,90,500
85,83,91,82,97,500
96,91,97,97,94,500
86,94,98,80,94,500
89,84,93,96,95,500
89,96,89,87,88,500
94,86,88,98,88,500
93,86,98,84,99,500
80,97,86,83,99,500
81,84,93,85,90,500
92,86,83,99,95,500
85,99,88,92,95,500
87,94,98,84,90,500
84,88,93,96,83,500
80,88,94,81,85,500
85,84,85,90,85,500
85,99,93,95,89,500
81,81,84,83,89,500
88,91,87,90,91,500
87,88,86,80,90,500
84,92,86,80,90,500
82,96,87,99,85,500
87,97,81,98,91,500
95,83,94,91,96,500
85,96,90,90,94,500
85,92,91,98,82,500
90,99,81,94,84,500
95,92,97,86,97,500
85,95,99,94,96,500
83,93,98,93,90,500
98,96,98,91,92,500
99,83,90,99,96,500
91,88,81,88,85,500
95,87,95,80,85,500
90,85,97,94,97,500
91,80,85,81,94,500
95,87,98,80,95,500
96,81,95,85,83,500
80,93,83,81,86,500
88,95,96,96,84,500
80,89,82,98,99,500
96,84,97,81,81,500
94,99,80,87,80,500
99,80,98,80,98,500
94,90,93,94,83,500
81,99,80,85,92,500
98,81,86,89,86,500
84,92,98,99,99,500
96,88,96,82,81,500
98,81,94,80,83,500
90,94,91,94,91,500
93,85,81,92,88,500
91,83,96,85,85,500
81,93,81,84,91,500
97,99,85,81,94,500
97,80,90,87,95,500
80,82,92,93,93,500
95,95,85,99,94,500
84,98,98,96,96,500
99,84,92,98,94,500
89,99,98,93,84,500
85,83,82,95,84,500
98,88,82,91,87,500
83,86,93,93,94,500
86,93,89,98,86,500
91,87,89,82,90,500
94,94,84,90,91,500
87,81,80,89,85,500
99,82,95,84,98,500
98,97,94,95,88,500
80,81,90,86,99,500
88,82,98,91,85,500
90,96,99,93,86,500
92,92,81,81,98,500
81,94,87,92,90,500
96,85,86,89,94,500
97,85,83,86,90,500
93,89,90,93,93,500
83,88,88,93,96,500
89,88,94,97,99,500
91,97,81,98,88,500
88,87,95,97,84,500
92,95,92,95,84,500
94,82,95,81,83,500
94,87,83,93,96,500
92,80,90,88,80,500
97,93,94,97,98,500
96,80,90,98,91,500
86,89,98,92,89,500
84,95,83,96,84,500
90,88,96,85,85,500
99,80,91,84,94,500
87,86,87,89,96,500
83,89,81,86,95,500
84,80,91,81,93,500
97,95,87,98,95,500
80,88,95,86,81,500
81,91,87,85,94,500
95,88,81,88,85,500
82,84,85,83,89,500
85,96,92,92,95,500
84,99,86,96,99,500
97,89,88,89,98,500
91,99,93,98,92,500
97,90,97,93,94,500
82,80,88,80,82,500
90,99,99,85,95,500
85,84,89,83,99,500
80,85,87,81,87,500
92,92,84,89,92,500
80,89,87,84,96,500
88,92,84,92,95,500
82,97,92,96,87,500
98,99,99,92,90,500
95,93,91,99,83,500
83,95,81,83,95,500
93,97,83,85,94,500
81,94,87,81,85,500
87,87,96,91,80,500
87,83,80,80,85,500
90,94,94,88,92,500
95,88,87,84,86,500
95,91,87,85,88,500
80,86,99,91,80,500
94,84,97,97,96,500
85,88,81,88,87,500
90,92,95,81,81,500
93,92,95,90,82,500
81,82,97,92,82,500
93,98,90,92,98,500
95,80,91,86,94,500
80,96,89,83,92,500
96,90,90,96,92,500
84,86,82,85,88,500
96,85,82,96,90,500
97,90,88,82,96,500
84,87,84,90,92,500
84,89,84,93,86,500
98,82,81,88,88,500
86,99,91,80,99,500
88,86,86,81,91,500
89,99,92,81,86,500
92,84,96,98,85,500
91,95,93,95,88,500
83,83,83,85,95,500
85,96,84,90,81,500
88,94,83,93,92,500
86,80,83,98,90,500
96,91,84,93,92,500
92,97,95,85,93,500
90,89,94,95,95,500
91,97,97,91,82,500
87,90,80,89,88,500
89,96,97,82,97,500
87,93,80,82,81,500
98,83,84,82,95,500
92,88,92,92,95,500
88,95,83,82,86,500
99,81,90,92,88,500
83,99,84,95,85,500
86,94,90,91,82,500
99,87,89,93,90,500
96,99,86,90,81,500
86,82,94,85,98,500
91,86,99,88,86,500
94,91,91,83,87,500
98,81,88,84,87,500
82,84,84,97,99,500
85,87,92,83,82,500
85,95,91,97,83,500
85,88,92,80,91,500
85,97,85,95,96,500
96,97,97,83,87,500
81,80,89,97,95,500
85,96,90,98,94,500
97,87,81,84,81,500
83,82,95,92,98,500
94,96,99,95,81,500
95,95,94,99,81,500
84,83,93,93,91,500
92,95,94,97,90,500
87,84,97,83,86,500
97,96,91,93,95,500
94,97,84,93,80,500
81,90,97,90,80,500
89,82,85,81,82,500
86,98,97,83,90,500
96,98,98,85,80,500
85,87,92,81,97,500
97,81,91,81,91,500
95,90,82,81,90,500
81,95,93,95,92,500
91,98,94,95,92,500
99,97,84,94,98,500
86,98,89,81,95,500
96,84,97,86,87,500
99,94,96,81,99,500
94,85,83,98,85,500
94,80,89,89,85,500
94,82,85,81,96,500
87,99,86,86,81,500
90,96,87,85,92,500
85,91,84,91,90,500
97,81,86,94,80,500
97,83,90,89,99,500
94,95,81,89,94,500
97,97,89,98,89,500
91,97,90,95,91,500
87,93,99,91,82,500
91,80,91,85,82,500
92,98,80,94,83,500
85,95,99,93,81,500
90,87,92,91,87,500
94,86,90,94,89,500
82,82,95,97,98,500
97,83,81,83,82,500
83,89,83,92,94,500
97,86,98,98,93,500
94,92,89,80,86,500
80,80,97,94,89,500
85,92,90,85,80,500
89,88,88,94,95,500
86,91,94,90,87,500
91,90,88,89,89,500
87,93,99,94,92,500
88,84,82,90,80,500
94,99,88,86,92,500
80,87,98,94,99,500
94,90,88,88,95,500
83,80,84,92,82,500
80,94,96,80,80,500
88,89,89,90,80,500
93,94,87,95,93,500
84,86,80,83,83,500
88,93,80,84,90,500
81,93,81,94,82,500
90,82,84,93,98,500
92,90,97,84,96,500
95,83,86,98,98,500
81,93,98,97,88,500
92,95,84,95,85,500
84,81,81,80,88,500
85,91,86,95,87,500
93,94,96,91,97,500
96,97,91,89,83,500
80,97,85,89,99,500
96,91,92,92,84,500
99,97,91,97,95,500
81,87,89,87,94,500
82,95,85,84,86,500
93,88,95,81,85,500
97,84,98,94,89,500
97,93,80,83,97,500
96,92,92,97,82,500
90,89,99,90,92,500
92,81,81,82,89,500
98,84,98,80,94,500
88,90,82,89,81,500
97,87,96,82,95,500
83,87,86,85,88,500
87,86,82,94,95,500
89,85,87,94,93,500
88,86,81,87,84,500
82,84,90,92,90,500
92,88,92,82,88,500
89,85,81,98,85,500
92,92,88,96,86,500
99,82,84,86,86,500
94,80,87,91,87,500
80,83,88,94,89,500
93,96,96,96,87,500
84,96,87,92,98,500
91,97,87,87,99,500
80,85,88,82,98,500
93,88,87,98,94,500
99,90,86,83,83,500
91,80,85,87,80,500
87,89,93,83,96,500
82,82,87,96,89,500
86,83,82,89,85,500
89,96,83,88,87,500
85,98,97,93,91,500
89,91,83,90,86,500
85,89,92,80,96,500
97,84,83,84,85,500
83,87,89,97,87,500
96,94,93,85,81,500
91,94,90,96,90,500
82,85,95,94,95,500
98,88,98,80,97,500
95,87,84,88,93,500
98,98,92,97,90,500
84,85,82,87,97,500
90,84,80,83,89,500
90,85,84,98,91,500
98,80,85,98,96,500
93,80,91,96,97,500
91,90,89,91,86,500
91,95,95,96,80,500
90,87,80,80,88,500
84,95,89,87,85,500
83,85,85,84,93,500
90,97,83,97,84,500
82,85,93,87,98,500
84,91,89,89,83,500
87,98,87,93,93,500
93,85,98,90,84,500
80,95,91,82,95,500
95,95,98,90,97,500
96,84,97,83,90,500
81,92,96,98,83,500
83,86,90,80,94,500
99,85,94,87,92,500
91,95,90,80,84,500
92,89,97,94,99,500
99,97,99,98,83,500
86,95,86,95,90,500
90,96,90,99,90,500
86,84,93,91,97,500
81,94,81,99,87,500
89,96,85,96,82,500
82,94,90,89,85,500
89,89,90,87,93,500
90,98,84,96,87,500
89,86,81,94,80,500
81,80,91,95,89,500
88,82,98,81,97,500
98,80,93,93,91,500
90,88,91,81,83,500
85,84,92,99,82,500
94,87,90,92,83,500
97,93,92,81,88,500
98,86,97,83,81,500
80,84,93,85,82,500
93,90,88,95,94,500
95,83,98,86,81,500
85,82,84,81,92,500
87,82,99,92,99,500
80,84,93,96,84,500
92,97,98,98,97,500
81,85,91,93,85,500
96,85,80,84,96,500
99,82,82,96,94,500
99,82,92,90,89,500
82,91,91,87,94,500
93,92,91,80,95,500
81,97,88,94,85,500
84,85,80,95,83,500
94,97,84,82,98,500
92,84,94,88,95,500
84,95,86,84,82,500
94,91,86,85,99,500
93,97,97,91,91,500
90,98,87,96,99,500
88,88,93,92,98,500
94,82,92,86,91,500
97,85,80,96,94,500
99,90,88,95,84,500
92,91,87,99,81,500
90,84,92,80,80,500
94,85,89,93,82,500
97,97,80,98,80,500
90,97,86,83,80,500
87,94,82,85,80,500
84,85,96,83,90,500
95,89,89,97,92,500
89,92,99,89,91,500
90,99,92,95,99,500
91,84,94,94,82,500
87,97,94,83,92,500
96,97,84,81,85,500
99,84,88,83,91,500
88,96,91,95,94,500
81,81,91,80,97,500
88,90,82,95,87,500
83,88,88,87,81,500
95,95,93,97,94,500
86,90,93,83,99,500
83,81,81,94,91,500
97,94,94,85,98,500
90,92,93,89,98,500
95,87,81,97,92,500
91,91,89,97,84,500
99,88,81,95,97,500
92,84,82,86,85,500
89,98,80,89,96,500
91,84,98,83,96,500
86,99,91,91,96,500
90,94,97,96,89,500
85,82,83,83,85,500
93,82,91,85,87,500
99,81,97,94,91,500
98,92,89,84,81,500
87,86,81,89,98,500
90,98,98,85,81,500
90,96,95,82,88,500
86,93,93,89,86,500
91,81,82,96,92,500
93,82,85,95,81,500
84,86,89,86,90,500
94,93,83,93,90,500
98,85,84,93,92,500
80,96,98,87,87,500
86,84,81,89,88,500
88,94,97,98,87,500
85,83,99,98,86,500
83,97,97,94,91,500
92,92,98,93,80,500
94,96,96,90,82,500
97,91,87,80,99,500
82,97,92,95,98,500
81,83,95,99,85,500
98,92,91,98,92,500
89,82,91,81,93,500
87,87,81,99,81,500
88,82,87,80,96,500
89,92,90,92,81,500
94,96,91,87,84,500
80,96,91,87,92,500
82,98,87,84,96,500
91,85,99,96,81,500
84,83,99,99,87,500
97,93,80,90,82,500
80,84,93,81,98,500
94,89,85,88,88,500
90,80,93,92,86,500
85,82,84,88,91,500
94,85,89,97,91,500
92,83,99,84,92,500
86,97,98,82,82,500
89,95,82,99,99,500
97,95,80,90,90,500
93,83,89,82,97,500
87,92,87,92,86,500
89,99,85,99,98,500
83,98,99,86,86,500
93,96,81,96,80,500
99,81,82,84,94,500
99,88,92,90,82,500
96,91,95,85,98,500
97,84,96,82,80,500
95,92,98,88,97,500
84,80,95,87,98,500
95,82,89,94,86,500
89,95,94,96,95,500
83,93,88,95,99,500
89,85,98,81,84,500
93,80,85,88,85,500
97,89,94,82,90,500
85,85,80,81,95,500
96,92,95,84,87,500
92,87,93,82,99,500
99,84,82,81,89,500
86,97,82,92,84,500
84,89,82,83,93,500
96,84,97,90,95,500
87,88,92,98,90,500
96,97,91,86,84,500
86,90,96,85,91,500
94,86,98,89,95,500
85,95,89,82,81,500
94,99,91,99,87,500
91,97,83,95,91,500
94,96,85,95,99,500
82,91,86,96,81,500
88,90,92,89,85,500
83,98,92,98,96,500
82,93,88,87,87,500
98,93,81,88,92,500
94,96,93,89,89,500
88,97,82,89,97,500
81,99,87,99,94,500
89,89,84,97,96,500
97,88,89,86,87,500
93,96,91,92,94,500
99,95,90,97,91,500
91,96,83,89,83,500
90,87,95,85,80,500
98,98,91,88,99,500
88,87,96,98,95,500
94,85,91,87,96,500
98,89,82,95,85,500
98,84,93,91,80,500
95,84,96,97,84,500
94,94,97,87,87,500
91,84,94,98,83,500
82,85,94,91,93,500
84,90,91,81,97,500
81,97,99,85,97,500
86,83,96,82,87,500
85,85,87,97,88,500
93,99,95,81,88,500
91,86,91,91,95,500
99,87,97,85,90,500
90,86,91,94,83,500
88,86,93,99,86,500
91,93,82,94,98,500
87,96,92,96,99,500
92,82,83,89,86,500
97,84,85,86,80,500
95,85,94,99,85,500
87,94,97,83,86,500
93,92,84,97,99,500
88,85,95,98,83,500
99,98,92,90,80,500
89,98,96,89,84,500
83,93,88,97,84,500
91,93,87,82,86,500
82,90,94,94,99,500
88,90,85,87,88,500
80,87,90,86,80,500
96,88,96,88,97,500
96,82,86,98,80,500
94,99,92,91,84,500
88,97,91,90,98,500
93,87,98,86,89,500
80,97,85,93,85,500
96,82,86,86,86,500
80,90,94,94,99,500
97,99,81,97,97,500
92,84,91,90,93,500
82,81,89,93,82,500
91,97,87,80,86,500
80,87,99,84,87,500
95,90,94,81,83,500
80,80,80,92,84,500
97,89,85,82,99,500
96,87,89,99,94,500
98,88,81,99,84,500
84,97,85,89,99,500
90,99,97,96,91,500
86,94,87,86,87,500
88,98,81,95,80,500
99,80,92,94,83,500
81,80,95,82,97,500
80,91,91,94,84,500
81,93,86,85,80,500
83,83,93,85,80,500
88,84,82,99,99,500
86,90,89,86,98,500
92,89,97,89,84,500
89,94,88,87,80,500
84,99,83,93,80,500
96,95,89,87,98,500
81,80,87,81,99,500
85,99,83,99,87,500
83,90,86,89,95,500
98,87,82,97,83,500
99,98,89,94,95,500
97,83,88,83,86,500
95,85,80,81,89,500
94,85,80,99,98,500
91,82,85,92,89,500
91,82,85,99,86,500
96,97,86,85,84,500
81,89,85,81,90,500
98,87,98,89,86,500
83,90,91,99,99,500
87,85,85,84,88,500
87,92,85,85,83,500
81,89,89,92,96,500
90,92,90,95,87,500
86,99,80,96,98,500
89,93,81,93,82,500
90,87,81,97,82,500
86,94,93,98,91,500
90,82,93,81,80,500
94,97,90,83,86,500
92,92,97,80,97,500
96,96,94,81,84,500
86,83,98,94,95,500
96,87,88,88,85,500
98,81,81,91,83,500
84,99,80,94,86,500
82,88,93,93,91,500
83,87,88,91,94,500
90,92,94,97,99,500
98,92,80,92,96,500
95,81,91,90,99,500
94,86,95,90,82,500
80,99,96,94,95,500
86,91,88,88,94,500
97,95,94,99,81,500
94,93,80,91,96,500
93,95,89,92,94,500
81,84,90,95,91,500
81,83,99,91,88,500
84,83,96,83,82,500
98,93,85,80,84,500
90,99,92,89,91,500
87,92,80,82,86,500
80,82,84,90,93,500
94,88,91,99,89,500
93,83,81,90,92,500
80,96,90,82,91,500
86,81,91,97,94,500
82,98,81,83,93,500
86,96,96,85,90,500
82,91,98,81,85,500
99,91,87,84,85,500
88,87,87,84,97,500
98,97,85,96,81,500
95,84,89,96,85,500
98,88,86,92,96,500
99,80,97,85,84,500
95,89,96,80,83,500
87,95,89,80,98,500
89,94,81,97,93,500
87,87,88,92,96,500
90,81,86,90,92,500
81,89,92,81,84,500
80,92,83,87,99,500
83,92,94,92,99,500
81,86,80,98,86,500
97,96,86,99,88,500
80,95,81,80,80,500
83,96,86,92,81,500
82,85,92,81,85,500
90,89,81,83,94,500
86,98,86,84,80,500
98,93,94,82,92,500
90,98,99,89,83,500
87,81,80,87,96,500
81,98,84,97,95,500
97,91,98,81,91,500
94,92,84,83,85,500
92,90,83,82,81,500
95,97,96,88,86,500
89,99,86,91,87,500
82,80,82,98,83,500
91,93,81,86,98,500
91,94,95,98,89,500
86,92,83,89,90,500
99,97,90,86,82,500
85,99,81,83,91,500
98,83,92,88,85,500
83,81,88,87,97,500
91,83,90,99,81,500
90,90,83,80,90,500
88,83,87,90,84,500
81,91,89,92,81,500
88,99,81,91,83,500
83,88,99,93,98,500
86,95,90,92,86,500
92,84,85,98,94,500
98,88,87,82,91,500
97,97,97,96,91,500
80,82,81,81,89,500
92,95,90,83,86,500
88,94,84,97,99,500
84,80,98,88,86,500
84,82,80,95,93,500
82,88,96,86,87,500
92,99,84,88,84,500
97,94,94,83,88,500
84,89,93,84,97,500
96,88,96,84,99,500
98,94,94,95,83,500
90,89,84,90,83,500
86,83,99,93,88,500
98,83,90,93,86,500
85,99,82,80,96,500
91,85,83,88,91,500
86,82,96,85,80,500
99,85,93,98,93,500
87,81,86,86,87,500
81,80,81,80,82,500
98,82,95,93,82,500
99,97,89,83,83,500
84,96,98,84,93,500
99,89,84,93,99,500
83,96,80,97,81,500
91,96,81,85,95,500
90,88,96,85,95,500
81,91,94,84,82,500
88,93,83,94,86,500
87,92,84,81,87,500
97,82,88,80,85,500
82,86,81,89,94,500
92,93,81,93,87,500
91,83,85,84,98,500
81,92,96,89,88,500
92,82,96,91,82,500
91,89,90,89,81,500
86,99,92,95,85,500
87,97,92,81,89,500
95,92,97,94,92,500
86,84,90,99,82,500
82,92,91,96,90,500
94,91,89,81,82,500
93,99,85,84,84,500
82,97,93,90,91,500
99,99,80,99,96,500
82,91,83,91,98,500
84,80,86,90,91,500
85,93,86,82,89,500
89,92,92,97,92,500
86,98,91,98,89,500
90,93,88,89,99,500
95,82,95,82,92,500
97,84,84,98,80,500
97,91,91,90,91,500
89,80,91,97,98,500
80,88,95,87,92,500
81,81,87,90,94,500
92,91,87,99,82,500
99,98,94,96,93,500
93,89,83,81,94,500
95,93,95,99,85,500
88,85,95,90,82,500
90,96,95,93,87,500
81,96,99,94,86,500
88,84,97,89,85,500
88,95,87,98,83,500
81,84,90,83,93,500
97,92,85,87,80,500
82,86,97,96,84,500
91,83,84,89,97,500
84,98,98,89,84,500
85,92,88,96,84,500
92,87,92,89,86,500
84,83,84,98,98,500
84,98,84,93,92,500
95,96,87,86,82,500
97,88,86,83,96,500
83,82,84,88,97,500
94,85,95,93,86,500
93,87,98,80,96,500
93,84,85,98,97,500
96,97,81,96,98,500
97,88,96,81,88,500
89,85,81,89,83,500
98,97,88,82,81,500
92,92,88,99,99,500
88,91,99,91,86,500
94,93,88,81,81,500
99,85,90,91,88,500
98,97,86,89,99,500
86,80,86,81,93,500
89,98,92,89,84,500
92,94,83,95,85,500
93,81,92,82,81,500
81,95,92,87,86,500
88,88,91,86,80,500
99,85,84,82,99,500
94,93,85,92,97,500
81,95,86,80,98,500
91,97,96,88,80,500
94,87,85,88,85,500
83,84,92,87,83,500
86,82,94,84,95,500
81,80,99,84,93,500
91,86,85,81,96,500
92,87,96,93,88,500
82,89,94,80,83,500
87,98,92,95,94,500
81,85,88,83,81,500
88,85,90,92,84,500
97,93,83,89,87,500
88,98,84,93,96,500
85,89,89,91,84,500
89,80,88,90,81,500
93,92,95,86,82,500
87,89,90,97,91,500
94,91,99,84,95,500
86,93,92,93,94,500
90,97,89,97,88,500
83,80,85,89,88,500
93,93,93,80,93,500
95,96,82,99,94,500
97,98,86,85,99,500
88,93,91,96,82,500
87,88,80,89,86,500
90,91,88,89,89,500
88,98,90,81,90,500
88,81,96,89,80,500
85,85,94,98,82,500
99,82,85,81,82,500
85,95,85,87,99,500
82,93,92,89,83,500
86,84,95,97,88,500
80,90,92,93,96,500
85,99,96,96,89,500
80,92,87,84,96,500
99,90,97,85,90,500
80,80,84,94,88,500
87,82,99,85,93,500
96,86,93,82,95,500
94,80,95,97,83,500
98,91,86,95,81,500
95,93,99,99,97,500
84,81,80,80,98,500
94,90,98,95,81,500
94,82,80,80,88,500
82,95,99,93,96,500
87,88,94,90,86,500
80,82,81,87,81,500
91,84,95,80,83,500
81,86,93,96,83,500
96,83,94,91,84,500
80,93,98,90,98,500
90,92,95,89,93,500
97,94,85,94,91,500
81,87,81,90,82,500
83,91,96,91,95,500
94,99,82,81,88,500
91,82,95,90,80,500
90,94,81,90,99,500
96,80,85,89,85,500
80,81,98,95,82,500
87,82,81,98,89,500
93,95,97,99,86,500
89,90,99,88,86,500
87,99,90,87,91,500
83,86,84,93,84,500
85,90,83,81,99,500
95,93,87,97,98,500
92,90,84,84,84,500
98,94,82,80,90,500
92,88,82,84,87,500
91,94,99,96,91,500
89,98,99,95,99,500
92,83,93,90,83,500
85,82,84,92,86,500
89,97,87,85,86,500
80,82,94,83,83,500
91,99,82,80,87,500
91,87,93,98,98,500
85,99,83,96,83,500
99,93,85,85,82,500
98,89,99,94,80,500
80,98,86,93,99,500
85,84,92,84,89,500
99,87,98,87,93,500
86,84,87,80,83,500
81,88,91,85,80,500
83,88,82,93,96,500
85,82,84,94,89,500
88,90,82,94,80,500
81,91,90,99,94,500
89,81,95,81,97,500
89,89,80,87,91,500
83,85,86,96,82,500
80,80,97,82,87,500
98,85,97,92,87,500
93,90,90,89,89,500
84,83,81,84,93,500
95,84,87,88,87,500
81,92,99,88,97,500
96,80,95,86,89,500
93,93,84,96,84,500
99,84,86,90,82,500
91,92,83,85,81,500
94,93,87,82,99,500
94,94,88,83,99,500
93,92,86,96,94,500
86,88,85,95,96,500
87,84,83,83,88,500
99,97,99,90,82,500
89,96,87,91,92,500
81,81,97,91,94,500
97,87,86,87,94,500
86,96,83,84,98,500
82,84,89,96,87,500
91,90,96,98,86,500
87,85,99,80,96,500
98,88,99,96,98,500
85,84,96,96,94,500
89,83,81,91,88,500
98,99,80,90,94,500
84,86,88,89,82,500
84,91,91,94,98,500
88,85,84,87,83,500
92,82,90,99,86,500
94,81,92,81,83,500
88,92,90,84,98,500
84,94,85,84,91,500
96,95,90,96,98,500
92,85,84,96,88,500
95,92,94,88,88,500
90,88,88,83,84,500
85,86,81,85,81,500
90,96,94,87,98,500
98,82,90,93,82,500
99,96,81,88,92,500
92,96,82,93,82,500
94,92,93,85,91,500
97,82,99,95,96,500
95,88,87,87,96,500
84,98,85,84,84,500
97,88,90,95,96,500
91,87,93,87,84,500
93,89,91,92,86,500
94,92,82,88,98,500
99,91,98,86,95,500
94,87,81,97,96,500
85,87,81,90,94,500
93,90,85,83,90,500
92,85,93,97,80,500
99,81,94,90,98,500
86,98,95,86,83,500
95,90,80,90,80,500
91,97,86,89,90,500
87,86,94,84,97,500
80,83,80,87,98,500
80,84,91,90,97,500
98,90,88,95,96,500
94,99,91,82,93,500
93,88,92,90,92,500
90,81,85,85,89,500
97,98,94,94,97,500
96,98,81,96,93,500
92,90,81,84,96,500
93,92,90,91,91,500
83,81,81,83,97,500
92,99,82,93,86,500
81,99,88,84,80,500
88,95,86,95,96,500
90,97,86,99,90,500
98,83,85,87,98,500
82,99,99,93,83,500
82,90,94,98,95,500
97,92,92,93,86,500
87,85,90,94,99,500
88,83,96,96,99,500
92,89,91,90,80,500
94,95,94,97,99,500
94,83,81,95,93,500
95,98,96,91,92,500
93,99,98,98,98,500
89,93,97,90,89,500
80,98,92,85,80,500
83,98,97,83,85,500
94,85,98,96,91,500
98,92,81,92,86,500
90,82,88,83,83,500
88,96,80,86,90,500
82,96,94,84,85,500
91,91,97,94,92,500
99,80,90,80,88,500
96,92,80,92,92,500
85,97,87,82,94,500
87,95,92,89,94,500
94,88,83,86,88,500
91,97,98,98,92,500
96,98,89,81,81,500
87,85,89,82,93,500
92,92,95,97,95,500
91,92,99,80,80,500
96,86,89,81,85,500
83,98,95,88,85,500
84,85,85,89,90,500
90,83,86,94,97,500
98,83,84,92,98,500
84,91,87,96,95,500
85,83,89,92,87,500
99,89,95,80,90,500
94,90,92,98,84,500
98,97,82,92,91,500
93,81,87,98,86,500
94,98,89,99,81,500
98,86,92,90,99,500
99,87,94,88,93,500
96,89,82,80,91,500
80,83,80,92,98,500
96,85,87,83,81,500
90,99,85,93,90,500
92,89,99,96,83,500
96,90,81,88,81,500
90,96,81,87,82,500
83,94,89,83,82,500
88,82,96,96,81,500
85,87,85,93,85,500
94,88,95,90,90,500
89,81,85,82,90,500
82,82,92,90,96,500
87,83,82,84,99,500
86,93,87,91,81,500
87,80,94,89,95,500
98,91,96,90,83,500
95,83,84,94,89,500
88,95,95,92,91,500
95,87,91,93,90,500
80,87,95,82,88,500
89,81,90,91,80,500
94,80,92,85,89,500
83,86,92,84,97,500
91,94,80,83,85,500
80,90,88,89,80,500
90,81,90,89,84,500
82,91,96,97,97,500
96,85,85,91,98,500
80,85,96,81,97,500
88,95,81,84,99,500
96,87,87,83,97,500
96,82,85,85,81,500
85,84,98,80,82,500
94,90,98,90,95,500
88,96,83,83,86,500
95,97,95,91,89,500
81,90,92,82,90,500
93,85,90,96,93,500
97,90,85,80,89,500
94,91,80,86,99,500
81,88,92,81,81,500
96,83,92,94,91,500
82,96,84,83,87,500
80,99,80,90,97,500
85,93,86,92,92,500
92,91,85,85,94,500
84,93,90,97,98,500
98,92,92,80,89,500
86,87,82,83,96,500
90,94,83,85,93,500
89,89,99,89,99,500
82,82,83,93,92,500
81,91,91,90,80,500
